group,version,rotation,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8
GROUP_5,Direct,4,STUDENT,HAT,DRESS,ORGAN,LAPTOP,SCENT,TOAST,DISEASE
GROUP_5,Direct,5,HAT,DRESS,ORGAN,LAPTOP,SCENT,TOAST,DISEASE,STUDENT
GROUP_5,Direct,6,DRESS,ORGAN,LAPTOP,SCENT,TOAST,DISEASE,STUDENT,HAT
GROUP_5,Direct,7,ORGAN,LAPTOP,SCENT,TOAST,DISEASE,STUDENT,HAT,DRESS
GROUP_5,Direct,8,LAPTOP,SCENT,TOAST,DISEASE,STUDENT,HAT,DRESS,ORGAN
GROUP_5,Reverse,1,ODOR,BREAD,ILLNESS,GRADUATE,BONNET,GOWN,KIDNEY,COMPUTER
GROUP_5,Reverse,2,BREAD,ILLNESS,GRADUATE,BONNET,GOWN,KIDNEY,COMPUTER,ODOR
GROUP_5,Reverse,3,ILLNESS,GRADUATE,BONNET,GOWN,KIDNEY,COMPUTER,ODOR,BREAD
GROUP_5,Reverse,4,GRADUATE,BONNET,GOWN,KIDNEY,COMPUTER,ODOR,BREAD,ILLNESS
GROUP_5,Reverse,5,BONNET,GOWN,KIDNEY,COMPUTER,ODOR,BREAD,ILLNESS,GRADUATE
GROUP_5,Reverse,6,GOWN,KIDNEY,COMPUTER,ODOR,BREAD,ILLNESS,GRADUATE,BONNET
GROUP_5,Reverse,7,KIDNEY,COMPUTER,ODOR,BREAD,ILLNESS,GRADUATE,BONNET,GOWN
GROUP_5,Reverse,8,COMPUTER,ODOR,BREAD,ILLNESS,GRADUATE,BONNET,GOWN,KIDNEY
GROUP_6,Direct,1,SCIENCE,BEDDING,DAISY,TREATY,OVEN,WINNER,SECRETARY,FRUIT
GROUP_6,Direct,2,BEDDING,DAISY,TREATY,OVEN,WINNER,SECRETARY,FRUIT,SCIENCE
GROUP_6,Direct,3,DAISY,TREATY,OVEN,WINNER,SECRETARY,FRUIT,SCIENCE,BEDDING
GROUP_6,Direct,4,TREATY,OVEN,WINNER,SECRETARY,FRUIT,SCIENCE,BEDDING,DAISY
GROUP_6,Direct,5,OVEN,WINNER,SECRETARY,FRUIT,SCIENCE,BEDDING,DAISY,TREATY
GROUP_6,Direct,6,WINNER,SECRETARY,FRUIT,SCIENCE,BEDDING,DAISY,TREATY,OVEN
GROUP_6,Direct,7,SECRETARY,FRUIT,SCIENCE,BEDDING,DAISY,TREATY,OVEN,WINNER
GROUP_6,Direct,8,FRUIT,SCIENCE,BEDDING,DAISY,TREATY,OVEN,WINNER,SECRETARY
GROUP_6,Reverse,1,BIOLOGY,BLANKET,FLOWER,ALLIANCE,APPLIANCE,CONTESTANT,ASSISTANT,APPLE
GROUP_6,Reverse,2,BLANKET,FLOWER,ALLIANCE,APPLIANCE,CONTESTANT,ASSISTANT,APPLE,BIOLOGY
GROUP_6,Reverse,3,FLOWER,ALLIANCE,APPLIANCE,CONTESTANT,ASSISTANT,APPLE,BIOLOGY,BLANKET
GROUP_6,Reverse,4,ALLIANCE,APPLIANCE,CONTESTANT,ASSISTANT,APPLE,BIOLOGY,BLANKET,FLOWER
GROUP_6,Reverse,5,APPLIANCE,CONTESTANT,ASSISTANT,APPLE,BIOLOGY,BLANKET,FLOWER,ALLIANCE
GROUP_6,Reverse,6,CONTESTANT,ASSISTANT,APPLE,BIOLOGY,BLANKET,FLOWER,ALLIANCE,APPLIANCE
GROUP_6,Reverse,7,ASSISTANT,APPLE,BIOLOGY,BLANKET,FLOWER,ALLIANCE,APPLIANCE,CONTESTANT
GROUP_6,Reverse,8,APPLE,BIOLOGY,BLANKET,FLOWER,ALLIANCE,APPLIANCE,CONTESTANT,ASSISTANT
GROUP_7,Direct,1,WEDDING,ASPIRIN,JACKET,SINGER,SPAGHETTI,PRIMATE,DRINK,ADVERTISEMENT
GROUP_7,Direct,2,ASPIRIN,JACKET,SINGER,SPAGHETTI,PRIMATE,DRINK,ADVERTISEMENT,WEDDING
GROUP_7,Direct,3,JACKET,SINGER,SPAGHETTI,PRIMATE,DRINK,ADVERTISEMENT,WEDDING,ASPIRIN
GROUP_7,Direct,4,SINGER,SPAGHETTI,PRIMATE,DRINK,ADVERTISEMENT,WEDDING,ASPIRIN,JACKET
GROUP_7,Direct,5,SPAGHETTI,PRIMATE,DRINK,ADVERTISEMENT,WEDDING,ASPIRIN,JACKET,SINGER
GROUP_7,Direct,6,PRIMATE,DRINK,ADVERTISEMENT,WEDDING,ASPIRIN,JACKET,SINGER,SPAGHETTI
GROUP_7,Direct,7,DRINK,ADVERTISEMENT,WEDDING,ASPIRIN,JACKET,SINGER,SPAGHETTI,PRIMATE
GROUP_7,Direct,8,ADVERTISEMENT,WEDDING,ASPIRIN,JACKET,SINGER,SPAGHETTI,PRIMATE,DRINK
GROUP_7,Reverse,1,CEREMONY,MEDICINE,BLAZER,MUSICIAN,PASTA,MONKEY,COFFEE,COMMERCIAL
GROUP_7,Reverse,2,MEDICINE,BLAZER,MUSICIAN,PASTA,MONKEY,COFFEE,COMMERCIAL,CEREMONY
GROUP_7,Reverse,3,BLAZER,MUSICIAN,PASTA,MONKEY,COFFEE,COMMERCIAL,CEREMONY,MEDICINE
GROUP_7,Reverse,4,MUSICIAN,PASTA,MONKEY,COFFEE,COMMERCIAL,CEREMONY,MEDICINE,BLAZER
GROUP_7,Reverse,5,PASTA,MONKEY,COFFEE,COMMERCIAL,CEREMONY,MEDICINE,BLAZER,MUSICIAN
GROUP_7,Reverse,6,MONKEY,COFFEE,COMMERCIAL,CEREMONY,MEDICINE,BLAZER,MUSICIAN,PASTA
GROUP_7,Reverse,7,COFFEE,COMMERCIAL,CEREMONY,MEDICINE,BLAZER,MUSICIAN,PASTA,MONKEY
GROUP_7,Reverse,8,COMMERCIAL,CEREMONY,MEDICINE,BLAZER,MUSICIAN,PASTA,MONKEY,COFFEE
GROUP_8,Direct,1,ACTOR,VAPOR,ARTICLE,POET,CLEANER,ARGUMENT,HEALTH,INJURY
GROUP_8,Direct,2,VAPOR,ARTICLE,POET,CLEANER,ARGUMENT,HEALTH,INJURY,ACTOR
GROUP_8,Direct,3,ARTICLE,POET,CLEANER,ARGUMENT,HEALTH,INJURY,ACTOR,VAPOR
GROUP_8,Direct,4,POET,CLEANER,ARGUMENT,HEALTH,INJURY,ACTOR,VAPOR,ARTICLE
GROUP_8,Direct,5,CLEANER,ARGUMENT,HEALTH,INJURY,ACTOR,VAPOR,ARTICLE,POET
GROUP_8,Direct,6,ARGUMENT,HEALTH,INJURY,ACTOR,VAPOR,ARTICLE,POET,CLEANER
GROUP_8,Direct,7,HEALTH,INJURY,ACTOR,VAPOR,ARTICLE,POET,CLEANER,ARGUMENT
GROUP_8,Direct,8,INJURY,ACTOR,VAPOR,ARTICLE,POET,CLEANER,ARGUMENT,HEALTH
GROUP_8,Reverse,1,PERFORMER,SMOKE,EDITORIAL,WRITER,SOAP,CONFLICT,WELFARE,BRUISE
GROUP_8,Reverse,2,SMOKE,EDITORIAL,WRITER,SOAP,CONFLICT,WELFARE,BRUISE,PERFORMER
GROUP_8,Reverse,3,EDITORIAL,WRITER,SOAP,CONFLICT,WELFARE,BRUISE,PERFORMER,SMOKE
GROUP_8,Reverse,4,WRITER,SOAP,CONFLICT,WELFARE,BRUISE,PERFORMER,SMOKE,EDITORIAL
GROUP_8,Reverse,5,SOAP,CONFLICT,WELFARE,BRUISE,PERFORMER,SMOKE,EDITORIAL,WRITER
GROUP_8,Reverse,6,CONFLICT,WELFARE,BRUISE,PERFORMER,SMOKE,EDITORIAL,WRITER,SOAP
GROUP_8,Reverse,7,WELFARE,BRUISE,PERFORMER,SMOKE,EDITORIAL,WRITER,SOAP,CONFLICT
GROUP_8,Reverse,8,BRUISE,PERFORMER,SMOKE,EDITORIAL,WRITER,SOAP,CONFLICT,WELFARE
